,id,text,exp_tag,amb_tag,extract_tag
0,swishersweets289,Your shii 🔥tho 🤷\u200d♂️,False,False,None
1,swishersweets289,🔥🔥,False,False,None
2,swishersweets504,💨 💨,False,False,None
3,swishersweets262,Nasty blunt Frfr summer twist is the best,False,False,None
4,swishersweets262,@not_corye dawg ur like 12 wtf,False,False,None
5,swishersweets262,Had to vote for Swerve ❤️🔥💋 these and Purple Swish are my faveeesssss,False,False,None
6,swishersweets262,My favorite ❤️,False,False,None
7,swishersweets262,Purple swish,False,False,None
8,swishersweets262,@annettecantu4 🤔,False,False,None
9,swishersweets262,This is the BEST SWISHER I  EXISTENCE!!,False,False,None
10,swishersweets262,Game slivers all day,False,False,None
11,swishersweets262,My favorite 👀,False,False,None
12,swishersweets262,Disgusting flavor,False,False,None
13,swishersweets262,Best flavor hands down 💯💯💯,False,False,None
14,swishersweets262,Yesssssssssssssss,False,False,None
15,swishersweets262,@samishannara this is bullshit go vote for boozey mango,False,False,None
16,swishersweets262,@amanda4lif3420  we need to get this one,False,False,None
17,swishersweets262,@meganashley_1 yes that looks like it would taste good,False,False,None
18,swishersweets262,@chrisfromthe3rd,False,False,None
19,swishersweets262,🙃,False,False,None
20,swishersweets262,"Gatorade flavors, been said this but I know tobacco can’t affiliate with a sports thing so I guess lol",False,False,None
21,swishersweets262,👍🏻👍🏻,False,False,None
22,swishersweets262,@brilc45,False,False,None
23,swishersweets262,We need summer twist back!! @swishersweets,False,False,None
24,swishersweets262,These should be around all year best ones yall make,False,False,None
25,swishersweets262,💯sweet cream the best,False,False,None
26,swishersweets262,@swerveb @unclebouji  ,False,False,#freeswervebandbouji
27,swishersweets276,@13aydenkelley,False,False,None
28,swishersweets276,@swishersweets check my new song out,False,False,None
29,swishersweets510,Quel grape ci sta bene nei nostri polmoni @alessio_lomba,False,False,None
30,swishersweets510,@alessio_lomba Hehehehehehe banana smash @swishersweets,False,False,None
31,swishersweets510,let me have sum tropical fusion 😕😕😕,False,False,None
32,swishersweets510,Sticky sweets here to stay??,False,False,None
33,swishersweets510,I’m 14 and I’m going to high school should I get this instead of a Juul? 🤔,False,False,None
34,swishersweets510,"@1300_rk Naw, I like my brain",False,False,None
35,swishersweets510,"@solid4rity_ Always that one loser talking shit to a kid on ig. 🙌 Mrs. High power over here lol. Sounds like you need to enjoy yourself some good indica to relax yourself ""my guy"".",False,False,None
36,swishersweets510,That’s the shit in the bay 🔥,False,False,None
37,swishersweets510,Y’all still smoking swishers ☠️,False,False,None
38,swishersweets510,No matter what funky flavors y’all make (and I try them all) I still always get a pack of grape as well 🤘,False,False,None
39,swishersweets510,Thats the flavor am about to smoke on,False,False,None
40,swishersweets510,Just posted the most crazy video! GO CHECK IT OUT!🔴🔥💀,False,False,None
41,swishersweets510,Just posted the most crazy video! GO CHECK IT OUT!🔴🔥💀,False,False,None
42,swishersweets510,😍💜💜,False,False,None
43,swishersweets510,Everybody’s loving that grape out here in Colorado...,False,False,None
44,swishersweets510,Dulce De Luche😂🤣,False,False,None
45,swishersweets510,❤️❤️,False,False,None
46,swishersweets510,Grape the worst one . Only niggas with that trash ass gas smoke these.,False,False,None
47,swishersweets510,@drip.v 🤫,False,False,None
48,swishersweets510,Grape 4Life 💯,False,False,None
49,swishersweets510,Gross.,False,False,None
50,swishersweets510,The grape one low key sucks ass,False,False,None
51,swishersweets538,boutta roll up rn,False,False,None
52,swishersweets538,everyday we smoke swishers,False,False,None
53,swishersweets538,Love it and smoking happy Wednesday...,False,False,None
54,swishersweets538,"EVERYDAY,  is a smoke sesh with Swishers 💨🤘",False,False,None
55,swishersweets538,Green Sweets🙌,False,False,None
56,swishersweets538,Wild Rush everyday. 🔥,False,False,None
57,swishersweets538,Nobody smokes straight sweet if you do your nasty idk why they are portraying it like people actually smoke these we only buy these for weed strictly,False,False,None
58,swishersweets538,"Y’all get clowned in every post for trying to make people think anyone smokes swishers straight. They’re ONLY used for weed, foh 😂",False,False,None
59,swishersweets706,Man I wish I was there. You guys rock,False,False,None
60,swishersweets706,🤵🏾🗯️©...⭐️💎💲® 👍🏾🚨,False,False,None
61,swishersweets706,@chaostheori,False,False,None
62,swishersweets706,"@jonnyvee12 he’s so down to earth and energetic, genuinely a great guy!",False,False,None
63,swishersweets706,@lifeofdesiigner two of your biggest fans right here! 🙌🏼,False,False,None
64,swishersweets706,Seffmade records up now,False,False,None
65,swishersweets706,Head over to my page and check out my music 🙏🏽 please give me a follow and share my page if u fw it. Feel free to message me 💎💯 Thank You.,False,False,None
66,swishersweets706,How can i perform?,False,False,None
67,swishersweets712,@educatedsavages,False,False,None
68,swishersweets712,Lets do a photoshoot or commercial DM my manager @RodrickBeats,False,False,None
69,swishersweets712,@rodrickbeats @swishersweets 😈💯,False,False,None
70,swishersweets712,Where can I order him to be delivered to my place tho????????????????,False,False,None
71,swishersweets712,@playyyyyyyyyyyyyy lmao,False,False,None
72,swishersweets712,@playyyyyyyyyyyyyy hahahahaha where should I ship me?,False,False,None
73,swishersweets712,LET\,False,False,None
74,swishersweets712,❤💯💯,False,False,#swishersweets 
75,swishersweets712,Give me free merch,False,False,None
76,swishersweets712,I got this shirt for free at a concert once,False,False,None
77,swishersweets712,Do a rillo collection collab with @monsterenergy flavors,False,False,None
78,swishersweets712,https://soundcloud.com/primojab-1/on-eerything-produced-by-sick-siah,False,False,None
79,swishersweets712,Rap Artist @jerzeeswisha973 need A Official Swisher Sponsor!,False,False,None
80,swishersweets712,Baccwoods better,False,False,None
81,swishersweets712,BackWoods> Swishers,False,False,None
82,swishersweets712,How do I get a follow from my favorite blunts?,False,False,None
83,swishersweets712,My absolute favorite! Can i get some merch and a follow? @swishersweets @frozenheartxcii,False,False,None
84,swishersweets712,So is it too late to sign up for Atlanta because @landrewcomin,False,False,#landrewcomin 
85,swishersweets712,💯💯💯💯👌👌👌👌,False,False,None
86,swishersweets712,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,False,False,None
87,swishersweets712,Why it look like he gotta bald head with  some nappy dreads photoshopped on,False,False,None
88,swishersweets29,@noerrrrr1,False,False,None
89,swishersweets15,"What’s up how can we collaborate, how can I get swisher to sponsor an artist??",False,False,None
90,swishersweets15,"@therealcanseco Thank you for your interest in the Artist Project. Please contact info@artistproject.com with social media handles, and provide a detailed overview of your partnership request.",False,False,None
91,swishersweets15,"@swishersweets I have already emailed them, quite some time ago, and have been waiting quite some time for a response back. But thank you! I will try and send another email!! 🙏🙏💯",False,False,None
92,swishersweets15,@therealcanseco Please do😉,False,False,None
93,swishersweets15,Like fr what up with half of Texas being out of swishers,False,False,None
94,swishersweets15,"@dgaf.chewy We’re just as bummed about the shortage as you! Due to the pandemic, select items have been delayed in production. Thanks for being part of the Swisher Sweets family & know that were working hard to get things back to normal!",False,False,None
95,swishersweets15,@swishersweets we gotta stay supportive of our favorite brands through this I’ll stay supporting you guys.,False,False,None
